tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,total_amount,payment_type
2025-01-15 21:40:27,2025-01-15 22:11:22,1,5.34,26.87,1.79,6.94,40.1,1
2025-01-15 13:11:45,2025-01-15 13:43:09,1,6.75,29.18,2.72,0.0,34.4,1
2025-01-15 10:11:56,2025-01-15 10:21:25,1,1.29,9.99,0.61,12.5,23.6,1
2025-01-15 16:28:03,2025-01-15 16:39:07,0,2.5,13.28,1.01,0.0,15.79,1
2025-01-15 15:47:19,2025-01-15 17:03:01,1,15.69,66.86,0.73,0.0,68.59,1
2025-01-15 20:16:34,2025-01-15 20:20:32,2,0.67,7.93,0.33,0.0,9.76,1
2025-01-15 21:54:05,2025-01-15 22:06:00,1,1.33,10.26,0.0,0.0,13.26,2
2025-01-15 05:35:55,2025-01-15 05:54:20,1,4.06,17.72,0.68,0.0,18.4,1
2025-01-15 08:30:10,2025-01-15 08:43:42,1,4.41,19.79,2.62,0.0,24.91,1
2025-01-15 17:53:57,2025-01-15 18:32:11,1,6.84,31.89,0.0,0.0,34.39,1
2025-01-15 07:26:34,2025-01-15 07:37:00,1,2.58,13.26,0.0,0.0,17.76,2
2025-01-15 08:01:10,2025-01-15 08:09:25,3,1.81,12.13,0.0,0.0,15.13,4
2025-01-15 18:27:50,2025-01-15 19:09:29,2,6.07,32.5,5.52,0.0,39.52,1
2025-01-15 21:45:29,2025-01-15 21:52:25,3,0.1,5.92,0.68,0.0,7.6,1
2025-01-15 19:54:28,2025-01-15 20:01:22,3,2.13,9.78,0.56,0.0,11.84,1
2025-01-15 17:19:09,2025-01-15 17:40:52,1,,15.54,0.0,6.94,23.48,2
2025-01-15 08:12:51,,1,5.34,27.09,0.0,0.0,29.59,0
2025-01-15 20:45:35,2025-01-15 20:57:26,2,1.53,10.11,0.0,0.0,10.61,6
2025-01-15 12:54:05,2025-01-15 13:10:31,2,2.42,16.45,2.81,0.0,22.26,1
2025-01-15 17:30:51,2025-01-15 17:49:18,1,1.59,12.01,0.98,0.0,13.99,1
2025-01-15 08:49:39,2025-01-15 09:00:12,1,3.17,14.81,0.0,0.0,15.81,1
2025-01-15 08:12:43,2025-01-15 08:31:09,1,3.31,17.34,0.0,0.0,19.84,2
2025-01-15 09:42:03,2025-01-15 09:52:17,1,1.5,10.66,0.0,0.0,13.16,1
2025-01-15 09:53:38,2025-01-15 10:09:21,1,3.78,18.5,0.0,0.0,23.0,2
2025-01-15 18:40:45,2025-01-15 18:49:28,1,1.15,5.21,0.67,6.94,13.82,1
2025-01-15 19:44:15,2025-01-15 19:54:41,2,3.1,14.91,1.87,0.0,18.28,1
2025-01-15 11:15:14,2025-01-15 11:22:36,1,1.39,9.08,0.27,0.0,9.85,1
2025-01-15 23:44:14,2025-01-15 23:59:59,1,9.38,39.37,0.99,0.0,41.86,1
2025-01-15 17:34:02,2025-01-15 17:54:53,2,2.92,19.27,0.0,0.0,21.77,2
2025-01-15 22:22:31,2025-01-15 22:30:12,1,0.96,7.88,0.55,0.0,10.93,1
,2025-01-15 10:50:45,1,1.8,7.04,0.51,0.0,9.05,1
2025-01-15 12:53:00,2025-01-15 13:02:15,4,1.99,11.91,0.0,0.0,11.91,1
2025-01-15 07:30:55,2025-01-15 07:49:20,2,3.09,18.09,0.0,0.0,21.09,2
2025-01-15 21:36:25,2025-01-15 21:55:27,4,4.22,18.72,2.15,0.0,22.37,1
2025-01-15 16:49:49,2025-01-15 16:40:59,1,3.09,19.37,0.41,0.0,22.78,1
2025-01-15 16:13:55,2025-01-15 16:27:37,2,1.89,11.3,0.0,0.0,13.8,3
2025-01-15 18:51:58,2025-01-15 19:02:03,1,2.37,10.82,0.0,0.0,12.32,2
2025-01-15 21:55:36,2025-01-15 22:04:48,1,1.8,8.71,0.0,0.0,9.71,0
2025-01-15 14:38:57,2025-01-15 14:42:17,1,1.5,8.0,0.0,0.0,9.5,1
2025-01-15 22:01:25,2025-01-15 22:15:06,1,3.41,15.3,0.83,0.0,18.63,1
2025-01-15 11:45:56,2025-01-15 12:01:31,1,1.89,13.89,0.99,0.0,14.88,1
2025-01-15 17:43:13,2025-01-15 18:28:27,2,6.56,37.03,1.7,0.0,40.23,1
2025-01-15 15:16:39,2025-01-15 15:33:40,1,2.74,16.75,1.95,0.0,19.7,1
2025-01-15 09:57:55,2025-01-15 11:25:26,1,12.86,64.68,9.24,0.0,74.92,1
2025-01-15 18:46:51,2025-01-15 18:53:47,2,1.57,9.0,0.35,0.0,9.85,1
2025-01-15 15:27:47,2025-01-15 15:44:42,3,,15.76,0.0,0.0,16.76,2
